Player,Pos,Team,GP,GS,MIN,PTS,AST,STL,BLK,TOV,REB,OREB,DREB,FGM,FG%,3PTM,FT%,FTM,TVS,Age,Weight,Height,Year
Darius Miller,SF,NOP,69,15,"1,757",567,146,40,23,59,128,14,114,189,39.0,133,36.5,56,46.05,28,225,"6'6""",2019
Juancho Hernangomez,PF,DEN,70,25,"1,358",408,55,27,24,37,265,64,201,138,43.9,66,36.5,66,40.75,23,214,"6'9""",2019
Josh Okogie,SG,MIN,74,52,"1,757",570,91,88,33,63,218,41,177,196,38.6,60,27.9,118,49.91,20,213,"6'4""",2019
Raul Neto,PG,UTA,37,1,473,196,93,14,4,35,62,6,56,74,46.0,20,33.3,28,32.84,26,180,"6'2""",2019
Terrance Ferguson,SG,OKC,74,74,"1,931",513,72,40,16,47,141,33,108,185,42.9,106,36.6,37,34.74,20,190,"6'6""",2019
Grayson Allen,SG,UTA,40,2,418,211,25,6,6,33,23,3,20,67,37.6,32,32.3,45,14.9,23,198,"6'4""",2019
Torrey Craig,SF,DEN,75,37,"1,502",430,72,37,46,44,263,89,174,160,44.2,61,32.4,49,48.68,28,221,"6'7""",2019
Chandler Hutchison,SF,CHI,44,14,894,229,34,23,6,25,185,31,154,96,45.9,14,28.0,23,29.09,22,210,"6'6""",2019
OG Anunoby,SF,TOR,67,6,"1,352",469,47,46,22,55,197,58,139,183,45.3,67,33.2,36,42.53,21,232,"6'7""",2019
Shabazz Napier,PG,BKN,56,2,982,529,143,41,16,66,100,18,82,169,38.9,76,33.3,115,57.45,27,175,"6'0""",2019
Aaron Holiday,PG,IND,53,0,657,294,87,21,13,40,67,5,62,105,40.1,43,33.9,41,28.62,22,185,"6'0""",2019
Anfernee Simons,SG,POR,20,1,140,75,13,1,0,11,13,3,10,28,44.4,10,34.5,9,0.0,19,195,"6'3""",2019
Trey Burke,PG,DAL,58,8,"1,124",631,159,33,7,49,99,28,71,236,43.1,56,35.2,103,59.96,26,185,"6'0""",2019
Malik Beasley,SG,DEN,81,18,"1,878",917,97,55,10,55,200,35,165,349,47.4,163,40.2,56,64.8,22,187,"6'4""",2019
Furkan Korkmaz,SG,PHI,48,7,679,279,52,29,2,25,107,16,91,98,40.0,47,32.6,36,34.99,21,202,"6'7""",2019
Caleb Swanigan,PF,SAC,21,0,178,43,11,6,1,18,64,17,47,18,34.0,1,14.3,6,0.0,21,260,"6'9""",2019
Landry Shamet,SG,LAC,79,27,"1,801",722,117,37,10,45,134,21,113,240,43.1,167,42.2,75,51.52,21,190,"6'4""",2019
Caris LeVert,SG,BKN,40,25,"1,062",547,156,42,14,69,151,35,116,207,42.9,48,31.2,85,86.7,24,205,"6'6""",2019
Jonah Bolden,SF,PHI,44,10,638,207,40,17,39,36,165,47,118,80,49.4,34,35.4,13,37.54,23,225,"0'0""",2019
Derrick White,PG,SAS,67,55,"1,727",663,263,67,47,97,247,35,212,260,47.9,48,33.8,95,86.55,24,195,"6'4""",2019
Spencer Dinwiddie,PG,BKN,68,4,"1,914","1,143",311,40,17,152,166,26,140,366,44.2,124,33.5,287,91.92,25,212,"6'5""",2019
Josh Hart,SG,LAL,67,22,"1,714",525,93,64,40,58,248,35,213,189,40.7,92,33.6,55,63.37,23,215,"6'4""",2019
Robert Williams III,PF,BOS,31,2,282,81,7,9,40,10,81,27,54,36,70.6,0,0.0,9,25.45,21,237,"6'9""",2019
Jacob Evans,SF,GSW,30,1,203,40,23,5,3,11,25,6,19,18,34.0,4,26.7,0,0.0,21,210,"6'4""",2019
Pat Connaughton,SG,MIL,61,2,"1,261",421,122,33,25,33,258,61,197,163,46.6,66,33.0,29,69.39,26,214,"6'5""",2019
DeAndre' Bembry,SF,ATL,82,15,"1,931",687,202,105,41,142,358,54,304,275,44.6,50,28.9,87,62.76,24,210,"6'5""",2019
Dzanan Musa,SG,BKN,9,0,39,19,2,2,0,4,5,1,4,9,40.9,1,10.0,0,0.0,19,217,"6'9""",2019
James Ennis III,SF,PHI,58,27,"1,229",389,41,41,23,34,182,60,122,138,46.9,55,35.3,58,46.35,28,215,"6'6""",2019
Omari Spellman,PF,ATL,46,11,804,272,47,26,25,31,194,72,122,98,40.2,44,34.4,32,47.06,21,245,"6'8""",2019
Luke Kornet,PF,NYK,46,18,784,322,54,27,42,25,135,28,107,107,37.8,70,36.3,38,47.7,23,252,"7'2""",2019
Rodions Kurucs,SF,BKN,63,46,"1,293",534,52,41,25,77,246,56,190,202,45.0,58,31.5,72,48.09,20,228,"6'9""",2019
Richaun Holmes,C,PHX,70,4,"1,183",572,60,42,79,52,331,115,216,222,60.8,0,0.0,128,73.76,25,235,"6'8""",2019
T.J. McConnell,PG,PHI,76,3,"1,470",483,258,79,17,91,174,28,146,220,52.5,14,33.3,29,55.46,26,190,"6'2""",2019
Rodney McGruder,SG,LAC,66,45,"1,549",503,112,36,12,64,238,60,178,186,40.3,79,35.0,52,52.01,27,205,"6'4""",2019
Quinn Cook,PG,GSW,74,10,"1,058",509,114,20,3,50,157,22,135,204,46.5,81,40.5,20,38.44,25,180,"6'1""",2019
Timothe Luwawu-Cabarrot,SG,CHI,50,7,669,231,26,19,8,21,97,11,86,82,37.6,36,31.0,31,21.73,23,215,"6'7""",2019
Pascal Siakam,PF,TOR,80,79,"2,547","1,354",248,73,52,154,549,124,425,519,54.9,79,36.9,237,99.74,24,230,"6'8""",2019
Dejounte Murray,PG,SAS,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,22,180,"6'5""",2019
Ivica Zubac,C,LAC,59,37,"1,039",525,63,14,51,70,362,115,247,212,55.9,0,0.0,101,56.67,21,240,"7'0""",2019
Cheick Diallo,PF,NOP,64,1,895,387,33,29,33,49,332,75,257,168,62.0,1,25.0,50,49.2,22,219,"6'8""",2019
Malcolm Brogdon,PG,MIL,64,64,"1,831","1,001",205,46,13,91,288,65,223,378,50.5,104,42.6,141,95.02,26,229,"6'5""",2019
Jake Layman,SF,POR,71,33,"1,326",541,53,31,30,46,217,56,161,216,50.9,59,32.6,50,53.03,24,209,"6'8""",2019
Dorian Finney-Smith,SF,DAL,81,26,"1,985",608,95,69,36,74,389,138,251,228,43.2,79,31.1,73,71.72,25,222,"6'7""",2019
Wayne Selden,SG,CHI,75,13,"1,438",514,109,33,13,79,180,37,143,196,40.6,55,31.6,67,26.86,24,230,"6'5""",2019
Raymond Felton,PG,OKC,33,0,379,142,52,10,6,14,34,4,30,55,40.7,20,32.8,12,21.53,34,205,"6'1""",2019
Luol Deng,SF,MIN,22,2,392,157,18,15,8,14,73,20,53,59,50.0,14,31.8,25,0.0,33,237,"0'0""",2019
Amir Johnson,C,PHI,51,6,529,201,60,16,13,45,147,47,100,79,50.3,12,30.0,31,21.69,31,240,"6'9""",2019
Udonis Haslem,PF,MIA,10,1,74,25,2,0,0,3,27,3,24,11,33.3,0,0.0,3,0.0,38,235,"6'8""",2019
Dwyane Wade,SG,MIA,72,2,"1,885","1,083",301,59,38,166,285,69,216,416,43.3,86,33.0,165,89.39,37,220,"6'4""",2019
Vince Carter,SG,ATL,76,9,"1,330",562,87,44,27,48,194,31,163,196,41.9,123,38.9,47,41.67,42,220,"6'6""",2019
Devin Harris,PG,DAL,68,2,"1,070",428,122,35,16,56,112,12,100,132,38.0,62,31.0,102,32.76,35,185,"6'3""",2019
Jamal Crawford,SG,PHX,64,0,"1,211",508,229,33,12,99,85,8,77,174,39.7,67,33.2,93,30.92,38,185,"6'5""",2019
Channing Frye,PF,CLE,36,6,341,129,20,6,5,13,52,4,48,43,36.8,32,40.5,11,14.66,35,255,"7'0""",2019
Jeff Green,SF,WAS,77,44,"2,096",946,137,43,39,101,309,57,252,326,47.5,111,34.7,183,71.85,32,235,"6'8""",2019
Jose Calderon,PG,DET,48,0,631,113,115,16,3,35,60,11,49,45,37.5,14,24.6,9,16.46,37,200,"0'0""",2019
Derrick Rose,PG,MIN,51,13,"1,392",917,220,31,12,82,140,33,107,363,48.2,54,37.0,137,90.59,30,200,"6'3""",2019
Gerald Green,SG,HOU,73,0,"1,472",675,40,33,27,55,182,30,152,231,40.0,156,35.4,57,36.27,33,205,"6'6""",2019
JaVale McGee,C,LAL,75,62,"1,670",897,52,47,148,108,566,195,371,400,62.4,1,8.3,96,82.63,31,270,"7'0""",2019
Jonas Jerebko,PF,GSW,73,6,"1,218",459,96,27,18,43,288,72,216,163,45.9,69,36.7,64,49.02,31,231,"0'0""",2019
Quincy Pondexter,SG,SAS,55,0,329,98,24,11,1,13,46,8,38,29,50.0,6,33.3,34,0.0,30,230,"6'7""",2019
Shelvin Mack,PG,CHA,57,3,"1,246",430,183,47,4,66,104,18,86,163,40.4,46,35.4,58,39.92,28,203,"0'0""",2019
Isaiah Thomas,PG,DEN,12,0,180,97,23,5,1,18,13,5,8,34,34.3,12,27.9,17,0.0,29,185,"5'9""",2019
Ian Clark,SG,NOP,60,6,972,401,94,22,8,58,89,13,76,151,39.4,66,32.7,33,24.91,27,175,"6'3""",2019
Kevon Looney,C,GSW,80,24,"1,481",500,123,46,53,51,417,194,223,217,62.5,1,10.0,65,80.63,22,257,"6'9""",2019
Treveon Graham,SG,BKN,35,21,715,184,34,13,7,17,107,23,84,64,33.5,38,29.7,18,32.79,25,219,"6'5""",2019
Christian Wood,PF,NOP,22,2,251,172,8,7,10,17,83,17,66,61,52.1,9,34.6,41,0.0,23,214,"6'9""",2019
Georges Niang,PF,UTA,59,0,516,235,35,10,6,23,87,11,76,86,47.5,43,41.0,20,20.53,25,235,"6'7""",2019
Derrick Jones Jr.,SF,MIA,60,14,"1,153",422,37,46,42,43,240,96,144,160,49.4,28,30.8,74,57.05,21,210,"6'6""",2019
David Nwaba,SG,CLE,51,14,984,334,54,36,17,29,163,41,122,126,48.1,24,32.0,58,45.83,26,219,"6'5""",2019
Sviatoslav Mykhailiuk,SF,DET,42,0,440,133,37,14,1,21,36,9,27,46,32.9,29,32.6,12,15.42,21,205,"6'7""",2019
Mitchell Robinson,C,NYK,66,19,"1,359",485,37,52,161,35,423,177,246,202,69.4,0,0.0,81,83.26,20,240,"7'0""",2019
Khem Birch,C,ORL,50,1,642,240,38,18,29,20,190,79,111,91,60.3,0,0.0,58,37.64,26,230,"6'8""",2019
Abdel Nader,SF,OKC,62,1,693,241,20,20,12,26,116,14,102,91,42.3,32,32.0,27,16.93,25,225,"6'5""",2019
Frank Jackson,PG,NOP,61,16,"1,168",495,69,25,2,48,134,25,109,194,43.4,53,31.4,54,31.19,20,205,"6'3""",2019
Wesley Iwundu,SF,ORL,68,13,"1,233",339,73,28,22,44,184,37,147,113,41.2,29,36.7,84,30.71,24,195,"6'6""",2019
Ivan Rabb,PF,MEM,50,13,721,284,54,17,14,35,206,70,136,116,54.7,3,20.0,49,44.72,21,220,"0'0""",2019
Semi Ojeleye,PF,BOS,56,3,594,186,23,10,4,19,86,24,62,67,42.4,28,31.5,24,15.13,24,240,"6'6""",2019
Jordan Bell,C,GSW,68,3,788,223,77,20,51,42,184,55,129,99,51.6,0,0.0,25,27.23,24,216,"6'8""",2019
Dwayne Bacon,SF,CHA,44,13,762,316,47,12,5,18,89,8,81,122,47.5,38,43.7,34,33.05,23,221,"6'6""",2019
Tyler Dorsey,SG,MEM,48,11,697,296,56,14,2,27,113,27,86,107,40.5,44,33.3,38,32.9,22,183,"6'5""",2019
Damyean Dotson,SG,NYK,73,40,"2,003",779,135,58,10,71,262,34,228,290,41.5,126,36.8,73,62.37,24,210,"6'5""",2019
Dillon Brooks,SF,MEM,18,0,329,135,16,10,4,19,31,9,22,49,40.2,15,37.5,22,0.0,23,220,"6'7""",2019
Sterling Brown,SG,MIL,58,7,"1,034",372,84,25,8,46,184,29,155,145,46.5,53,36.1,29,44.04,23,219,"6'5""",2019
Sindarius Thornwell,SG,LAC,64,1,313,62,18,14,7,20,44,5,39,17,34.7,3,20.0,25,0.0,24,215,"6'4""",2019
Daniel Theis,PF,BOS,66,2,907,374,68,21,42,33,225,87,138,146,54.9,26,38.8,56,55.71,26,245,"6'8""",2019
Royce O'Neale,SF,UTA,82,16,"1,671",426,124,54,24,70,285,22,263,163,47.5,68,38.6,32,53.44,25,220,"6'6""",2019
Tyrone Wallace,SG,LAC,62,0,627,218,42,21,7,36,101,20,81,92,42.4,4,21.1,30,21.8,24,198,"6'5""",2019
Ryan Arcidiacono,PG,CHI,81,32,"1,961",544,270,65,4,63,219,27,192,187,44.7,81,37.3,89,60.84,24,195,"6'3""",2019
Monte Morris,PG,DEN,82,6,"1,970",851,297,73,4,52,194,35,159,346,49.3,94,41.4,65,79.79,23,183,"6'2""",2019
Alfonzo McKinnie,PF,GSW,72,5,"1,003",337,31,18,15,30,247,81,166,134,48.7,42,35.6,27,29.25,26,215,"6'7""",2019
Antonio Blakeney,SG,CHI,57,3,828,418,42,12,9,35,106,7,99,166,41.9,36,39.6,50,20.86,22,192,"6'4""",2019
Tyson Chandler,C,LAL,55,6,874,173,37,21,23,42,307,92,215,61,61.6,0,0.0,51,28.37,36,235,"7'0""",2019
Shaquille Harrison,PG,CHI,74,11,"1,430",474,139,89,30,60,222,33,189,184,43.2,24,27.0,82,54.13,25,195,"6'4""",2019
Élie Okobo,PG,PHX,53,16,958,304,127,32,7,69,98,12,86,114,39.3,39,29.5,37,26.05,21,190,"6'3""",2019
Jalen Brunson,PG,DAL,73,38,"1,591",678,230,37,4,88,169,25,144,264,46.7,63,34.8,87,54.37,22,190,"6'2""",2019
Melvin Frazier Jr.,SF,ORL,11,0,53,15,1,1,0,1,5,3,2,7,33.3,0,0.0,1,0.0,22,215,"6'5""",2019
Isaac Bonga,PG,LAL,22,0,120,19,15,9,4,6,25,9,16,5,15.2,0,0.0,9,0.0,19,180,"6'8""",2019
Devonte' Graham,PG,CHA,47,3,684,217,121,23,2,30,63,10,53,74,34.3,34,28.1,35,29.59,23,195,"6'1""",2019
De'Anthony Melton,PG,PHX,50,31,983,250,159,68,23,75,134,25,109,100,39.1,29,30.5,21,52.36,20,200,"6'2""",2019
Austin Rivers,SG,HOU,76,15,"2,027",618,167,47,23,68,162,26,136,232,40.6,104,31.8,50,42.79,26,200,"6'4""",2019
Chasson Randle,PG,WAS,49,2,742,271,97,25,3,43,56,10,46,91,41.9,46,40.0,43,34.85,25,185,"6'2""",2019
Isaiah Hartenstein,PF,HOU,28,0,221,53,15,7,12,13,47,21,26,20,48.8,2,33.3,11,0.0,20,250,"7'0""",2019
Jevon Carter,PG,MEM,39,3,576,172,69,26,11,33,66,14,52,56,30.3,34,33.3,26,33.82,23,200,"6'1""",2019
Gary Trent Jr.,SG,POR,16,1,112,40,5,1,2,4,11,1,10,16,32.0,5,23.8,3,0.0,20,209,"6'5""",2019
Khyri Thomas,SG,DET,26,0,195,61,8,7,5,4,20,4,16,22,31.9,10,28.6,7,0.0,22,210,"6'3""",2019
Jarred Vanderbilt,PF,DEN,16,0,69,24,3,6,1,8,23,7,16,9,47.4,0,0.0,6,0.0,19,214,"6'9""",2019
Bruce Brown Jr.,SG,DET,74,56,"1,449",319,91,40,36,46,185,48,137,125,39.8,24,25.8,45,34.66,22,202,"6'4""",2019
Hamidou Diallo,SG,OKC,51,3,526,190,17,21,10,23,97,38,59,75,45.5,4,16.7,36,20.48,20,202,"6'5""",2019
Keita Bates-Diop,SF,MIN,31,3,545,151,17,18,14,14,83,16,67,60,42.3,13,25.0,18,33.55,23,229,"6'8""",2019
Chimezie Metu,PF,SAS,29,0,145,51,13,6,2,15,36,9,27,19,32.8,0,0.0,13,0.0,21,225,"6'9""",2019
Alize Johnson,PF,IND,14,0,64,13,1,1,3,0,19,4,15,4,25.0,1,50.0,4,0.0,22,210,"6'7""",2019
Brad Wanamaker,PG,BOS,36,0,342,140,56,12,2,19,41,3,38,50,47.6,16,41.0,24,27.14,29,210,"6'3""",2019
Ryan Broekhoff,SF,DAL,42,0,453,167,22,6,4,16,63,8,55,57,45.2,38,40.9,15,20.84,28,215,"6'6""",2019
Kenrich Williams,SF,NOP,46,29,"1,079",279,83,45,19,36,219,55,164,107,38.4,52,33.3,13,56.82,24,210,"6'7""",2019
Patrick McCaw,SG,TOR,29,1,397,74,29,23,2,17,48,7,41,26,41.3,9,32.1,13,26.27,23,181,"6'7""",2019
Kenneth Faried,PF,HOU,37,13,728,384,20,17,23,33,250,97,153,156,58.9,8,32.0,64,75.03,29,220,"6'8""",2019
John Jenkins,SG,NYK,78,0,999,363,66,0,6,27,111,18,93,126,120.0,66,113.7,45,0.0,27,215,"6'4""",2019
Gary Clark,SF,HOU,51,2,640,148,18,20,26,7,116,24,92,50,33.1,41,29.7,7,24.02,24,225,"6'6""",2019
Wesley Matthews,SG,IND,69,68,"2,091",840,160,54,17,91,170,32,138,279,40.0,150,37.2,132,73.07,32,218,"6'5""",2019
Salah Mejri,C,DAL,36,4,399,141,35,10,26,21,131,36,95,55,49.1,11,32.4,20,34.25,32,235,"7'2""",2019
Nik Stauskas,SG,CLE,68,0,"1,014",399,81,21,7,51,127,18,109,136,40.2,70,37.2,57,32.08,25,207,"6'6""",2019
Jeremy Lin,PG,TOR,74,4,"1,436",707,231,47,13,124,179,22,157,238,44.0,55,29.4,176,58.2,30,200,"0'0""",2019
Malcolm Miller,SF,TOR,10,0,67,35,1,1,1,1,5,1,4,11,42.3,10,47.6,3,0.0,25,210,"6'7""",2019
Chris Boucher,PF,TOR,28,0,163,93,2,6,24,7,56,16,40,34,44.7,12,32.4,13,0.0,26,200,"6'9""",2019
Edmond Sumner,PG,IND,23,2,209,66,10,12,5,10,24,9,15,22,34.4,7,25.9,15,0.0,23,196,"6'4""",2019
Markieff Morris,PF,OKC,58,16,"1,270",547,79,36,22,54,265,61,204,204,42.1,68,33.5,71,61.31,29,245,"6'9""",2019
Pau Gasol,C,MIL,30,6,360,118,52,5,15,16,137,22,115,42,44.7,6,46.2,28,37.25,38,250,"0'0""",2019
Andrew Bogut,C,GSW,11,5,134,39,11,3,8,8,55,12,43,18,50.0,0,0.0,3,0.0,34,260,"0'0""",2019
Isaiah Canaan,PG,MIL,90,48,"1,881",543,252,42,6,105,174,18,156,192,117.0,102,106.2,57,0.0,27,200,"6'0""",2019
Danuel House Jr.,SF,HOU,39,13,978,366,40,21,11,35,140,25,115,118,46.8,74,41.6,56,58.8,25,220,"6'6""",2019
Jaylen Adams,PG,ATL,34,1,427,108,65,14,5,28,60,11,49,38,34.5,25,33.8,7,29.2,22,225,"6'0""",2019
Michael Carter-Williams,PG,ORL,84,3,"1,113",402,210,60,45,60,210,57,153,138,112.2,30,78.9,96,0.0,27,190,"6'5""",2019
Jodie Meeks,SG,TOR,16,0,208,102,16,2,2,4,24,2,22,42,107.6,16,88.8,2,0.0,31,210,"0'0""",2019
Tim Frazier,PG,MIL,59,19,"1,119",310,248,30,5,76,168,41,127,116,44.4,37,36.6,41,54.44,28,170,"6'0""",2019
Terrence Jones,PF,HOU,4,0,10,4,0,0,0,2,8,0,8,2,50.0,0,0.0,0,0.0,27,252,"6'9""",2019
Quincy Acy,PF,PHX,20,0,244,34,16,2,8,8,50,6,44,8,44.4,4,26.6,14,0.0,28,240,"6'7""",2019
Cameron Payne,PG,CLE,80,26,"1,424",500,212,56,18,90,144,26,118,192,86.0,50,59.6,66,0.0,24,190,"6'3""",2019
Jimmer Fredette,PG,PHX,6,0,64,22,8,3,0,5,7,1,6,8,27.6,0,0.0,6,0.0,29,195,"6'2""",2019
Deonte Burton,SF,OKC,32,0,239,82,9,6,8,9,28,4,24,33,40.2,8,29.6,8,0.0,25,240,"6'4""",2019
B.J. Johnson,SF,ATL,21,0,147,69,0,6,0,6,24,6,18,27,150.0,9,128.7,6,0.0,23,200,"6'7""",2019
Tyler Zeller,C,ATL,12,2,184,92,8,2,6,8,48,22,26,32,106.6,0,0.0,28,0.0,29,255,"7'0""",2019
Walter Lemon Jr.,PG,CHI,6,3,167,86,30,11,1,10,27,4,23,38,43.7,2,40.0,8,0.0,26,180,"6'3""",2019
JaKarr Sampson,SG,CHI,4,0,127,80,4,4,3,4,32,5,27,29,53.7,5,35.7,17,0.0,25,214,"6'7""",2019
Gary Payton II,PG,WAS,3,0,15,11,4,3,1,1,2,1,1,5,62.5,1,50.0,0,0.0,26,195,"6'3""",2019
James Nunnally,SF,HOU,15,0,101,36,7,1,0,1,5,0,5,12,35.3,8,32.0,4,0.0,28,208,"6'7""",2019
Kobi Simmons,PG,CLE,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,21,180,"6'5""",2019
Donatas Motiejunas,PF,SAS,3,0,12,6,1,0,1,3,3,2,1,3,50.0,0,0.0,0,0.0,28,220,"7'0""",2019
Jordan Sibert,SG,ATL,1,0,4,3,0,0,0,0,0,0,0,1,100.0,1,100.0,0,0.0,26,187,"6'4""",2019
Michael Frazier,SG,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,24,200,"6'3""",2019
Jordan McRae,SG,WAS,27,0,332,160,30,13,7,15,40,6,34,61,46.9,10,28.6,28,0.0,27,179,"6'5""",2019
Jonathan Gibson,PG,BOS,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,31,185,"6'2""",2019
Yante Maten,PF,MIA,2,0,13,2,0,1,0,0,3,1,2,1,25.0,0,0.0,0,0.0,22,240,"6'8""",2019
Duncan Robinson,PF,MIA,15,1,160,50,5,5,0,4,19,2,17,18,39.1,10,28.6,4,0.0,24,215,"6'7""",2019
Theo Pinson,SG,BKN,18,0,211,81,21,6,0,18,36,4,32,25,34.2,12,26.1,19,0.0,23,212,"6'7""",2019
Stephen Curry,PG,GSW,5,5,139,104,33,5,2,16,26,4,22,33,40.2,12,24.5,26,0.0,31,200,"6'3""",2020
Chris Paul,PG,OKC,70,70,"2,207","1,232",472,111,11,161,349,26,323,434,48.9,111,36.5,253,18.44,34,175,"6'1""",2020
Russell Westbrook,PG,HOU,57,57,"2,049","1,553",401,93,20,255,451,100,351,604,47.2,55,25.8,290,28.06,31,200,"6'3""",2020
James Harden,SG,HOU,68,68,"2,482","2,335",512,125,60,308,446,70,376,672,44.4,299,35.5,692,98.28,30,220,"6'5""",2020
John Wall,PG,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,29,210,"6'3""",2020
LeBron James,SF,LAL,67,67,"2,316","1,698",684,78,36,261,525,66,459,643,49.3,148,34.8,264,97.1,35,250,"6'9""",2020
Kyle Lowry,PG,TOR,58,58,"2,098","1,126",433,82,26,178,292,32,260,334,41.6,164,35.2,294,40.23,33,196,"6'0""",2020
Blake Griffin,PF,DET,18,18,512,279,59,7,7,40,84,17,67,88,35.2,27,24.3,76,0.0,30,250,"6'9""",2020
Paul George,SF,LAC,48,48,"1,418","1,033",185,67,20,125,272,24,248,343,43.9,157,41.2,190,26.61,29,220,"6'8""",2020
Kemba Walker,PG,BOS,56,56,"1,742","1,145",268,48,28,117,217,36,181,378,42.5,180,38.1,209,20.6,29,184,"6'0""",2020
Klay Thompson,SG,GSW,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,29,220,"6'6""",2020
Kawhi Leonard,SF,LAC,57,57,"1,848","1,543",280,103,33,149,402,54,348,532,47.0,123,37.8,356,92.82,28,225,"6'7""",2020
Tobias Harris,PF,PHI,72,72,"2,469","1,410",227,53,40,104,495,69,426,553,47.1,131,36.7,173,10.35,27,226,"6'7""",2020
Jimmy Butler,SG,MIA,58,58,"1,959","1,157",350,103,32,127,386,106,280,345,45.5,29,24.4,438,54.23,30,230,"6'7""",2020
Gordon Hayward,SF,BOS,52,52,"1,740",909,212,38,22,96,348,55,293,350,50.0,85,38.3,124,18.72,29,225,"6'7""",2020
Mike Conley,PG,UTA,47,41,"1,363",675,208,36,5,92,150,32,118,232,40.9,96,37.5,115,2.72,32,175,"6'1""",2020
Kyrie Irving,PG,BKN,20,20,657,548,128,27,10,52,103,22,81,199,47.8,56,39.4,94,0.0,27,195,"6'2""",2020
Khris Middleton,SF,MIL,62,59,"1,852","1,297",265,53,7,137,382,44,338,471,49.7,147,41.5,208,24.94,28,235,"6'7""",2020
Paul Millsap,PF,DEN,51,48,"1,240",591,83,44,30,70,293,98,195,211,48.2,54,43.5,115,1.36,34,257,"6'7""",2020
Damian Lillard,PG,POR,66,66,"2,473","1,978",530,70,22,194,284,33,251,624,46.3,270,40.1,460,99.25,29,200,"6'2""",2020
Kevin Love,C,CLE,56,56,"1,780",987,178,33,19,140,547,54,493,327,45.0,146,37.4,187,25.18,31,251,"6'8""",2020
Al Horford,C,PHI,67,61,"2,025",798,270,52,61,80,456,103,353,319,45.0,99,35.0,61,24.6,33,240,"6'9""",2020
DeMar DeRozan,SG,SAS,68,68,"2,316","1,504",379,70,20,164,375,44,331,557,53.1,9,25.7,381,55.65,30,220,"6'6""",2020
C.J. McCollum,SG,POR,70,70,"2,556","1,556",310,54,42,127,297,46,251,611,45.1,194,37.9,140,40.58,28,202,"6'3""",2020
Andrew Wiggins,SF,GSW,54,54,"1,858","1,175",198,45,53,132,274,66,208,437,44.7,111,33.2,190,19.83,24,209,"6'7""",2020
Joel Embiid,C,PHI,51,51,"1,505","1,173",152,45,65,159,593,141,452,382,47.7,57,33.1,352,69.57,25,280,"7'0""",2020
Nikola Jokic,C,DEN,73,73,"2,335","1,456",512,85,44,226,711,166,545,565,52.8,80,31.4,246,95.97,24,284,"7'0""",2020
Karl-Anthony Towns,C,MIN,35,35,"1,187",926,153,33,42,110,378,95,283,316,50.8,114,41.2,180,80.89,24,252,"7'0""",2020
D'Angelo Russell,PG,MIN,45,45,"1,452","1,039",285,48,13,147,177,17,160,360,42.6,158,36.7,161,33.72,23,193,"6'4""",2020
Kristaps Porzingis,PF,DAL,57,57,"1,813","1,164",102,41,115,92,540,100,440,398,42.7,142,35.2,226,38.93,24,240,"7'3""",2020
Devin Booker,SG,PHX,70,70,"2,511","1,863",456,49,18,264,297,29,268,627,48.9,141,35.4,468,52.79,23,206,"6'5""",2020
Otto Porter Jr.,SF,CHI,14,9,330,167,25,15,6,11,48,13,35,62,44.3,24,38.7,19,0.0,26,198,"6'8""",2020
Hassan Whiteside,C,POR,67,61,"2,008","1,040",78,26,196,120,905,258,647,436,62.1,4,57.1,164,74.58,30,265,"7'0""",2020
Bradley Beal,SG,WAS,57,57,"2,053","1,741",347,71,23,194,242,52,190,593,45.5,170,35.3,385,87.69,26,207,"6'4""",2020
Jrue Holiday,SG,NOP,61,61,"2,116","1,167",408,99,48,184,293,77,216,458,45.5,122,35.3,129,54.81,29,220,"6'5""",2020
Giannis Antetokounmpo,PF,MIL,63,63,"1,916","1,857",354,61,66,230,856,140,716,685,55.3,89,30.4,398,100.0,25,254,"7'0""",2020
Nicolas Batum,SF,CHA,22,3,504,79,66,17,8,22,100,25,75,28,34.6,14,28.6,9,0.0,31,230,"6'8""",2020
Rudy Gobert,C,UTA,68,68,"2,332","1,026",101,51,134,130,916,230,686,386,69.3,0,0.0,254,77.03,27,266,"7'1""",2020
Harrison Barnes,PF,SAC,72,72,"2,481","1,046",159,43,12,88,355,77,278,365,46.0,102,38.1,214,13.09,27,225,"6'8""",2020
Victor Oladipo,SG,IND,19,16,528,275,56,17,4,47,75,9,66,97,39.4,33,31.7,48,0.0,27,213,"6'4""",2020
Tim Hardaway Jr.,SG,DAL,71,58,"2,091","1,121",137,41,5,69,232,25,207,384,43.4,204,39.8,149,25.37,27,205,"6'5""",2020
Malcolm Brogdon,PG,IND,54,54,"1,666",893,381,35,10,131,262,46,216,326,43.8,75,32.6,166,52.93,27,229,"6'5""",2020
Terry Rozier,PG,CHA,63,63,"2,164","1,134",259,61,10,141,276,50,226,398,42.3,172,40.7,166,40.23,25,195,"6'1""",2020
